Localidad,Rubro,NomComercio,Direccion,Prefijo,NroTel,Dto,Latitud,Longitud,Provincia
BAHÍA BLANCA,DEPORTE,AGUAMARINA SPORT,BELGRANO 207,291,4500859,15,-38.71770120000001,-62.2612873,Provincia de Buenos Aires
BAHÍA BLANCA,DEPORTE,BAHÍA DEPORTES,AV. ARIAS 2009,,,15,-38.7532456,-62.2661058,Provincia de Buenos Aires
BAHÍA BLANCA,DEPORTE,BIENESTAR SPORT,O´HIGGINS 201,291,4548621,10,-38.72165,-62.26840000000001,Provincia de Buenos Aires
BAHÍA BLANCA,INDUMENTARIA,CARDÓN,SOLER 45,291,4510471,10,-38.7164592,-62.26337280000001,Provincia de Buenos Aires
BAHÍA BLANCA,CALZADOS,CARDÓN,SOLER 45,291,4510471,10,-38.7164592,-62.26337280000001,Provincia de Buenos Aires
ALLEN,INDUMENTARIA,BEAUTIFUL SIN LÍMITES,SAN MARTÍN 412,298,154403002,15,-38.9792952,-67.8237307,Río Negro
ALLEN,INDUMENTARIA,BRUNO SPORT´S,AV. ROCA 6,298,4450068,15,-38.9769908,-67.82955869999999,Río Negro
ALLEN,INDUMENTARIA,DAN-SIL,TOMÁS ORELL 252,298,4450021,10,-38.9778831,-67.8260451,Río Negro
ALLEN,INDUMENTARIA,FASHION LOVER,TOMÁS ORELL 269,298,154643858,10,-38.9782292,-67.8258266,Río Negro
AZUL,INDUMENTARIA,CASA TOSCANO,H. YRIGOYEN 592,2281,426535,15,-36.7791865,-59.8603472,Provincia de Buenos Aires
AZUL,INDUMENTARIA,CATALDO HOMBRES,H. YRIGOYEN 516,2281,435483,15,-36.7782144,-59.8615946,Provincia de Buenos Aires
AZUL,INDUMENTARIA,CHE BERLÍN,SAN MARTÍN 590,2281,633996,15,-36.7799854,-59.86109030000001,Provincia de Buenos Aires
AZUL,INDUMENTARIA,DANIEL BASIC,SAN MARTÍN 512,2281,428033,15,-36.7788354,-59.86243169999999,Provincia de Buenos Aires
AZUL,INDUMENTARIA,EL GALPÓN,SAN MARTÍN 596,2281,585385,15,-36.7798539,-59.8609759,Provincia de Buenos Aires
AZUL,INDUMENTARIA,HAMACA,AMADO DÍA 379,2281,479534,15,-36.7785244,-59.8495547,Provincia de Buenos Aires
